Piece No.,Cat. Suffix,Tr. No.,Title,Artist,Length,Variation,Instruments Used
No. 23,M02,Tr. 08,Lounge Away (Piano Trio & Ts),Tetsuya Ozawa Quartet,04:43,Instrumentation 5,Pf & Bs & Dr & Ts
No. 24,M02,Tr. 09,Crescent Serenade (Piano Trio & Ts),Tetsuya Ozawa Quartet,04:55,Instrumentation 5,Pf & Bs & Dr & Ts
No. 25,M02,Tr. 10,Abyss (Piano Trio & Ts),Tetsuya Ozawa Quartet,06:20,Instrumentation 5,Pf & Bs & Dr & Ts
No. 26,M03,Tr. 01,Jive (Octet),YOU Band,03:31,Instrumentation 6,Pf & Bs & Dr & Gt & As & Bar & Ts � 2
No. 27,M03,Tr. 02,For Two (Octet),YOU Band,03:47,Instrumentation 6,Pf & Bs & Dr & Gt & As & Bar & Ts � 2
No. 28,M03,Tr. 03,Lounge Away (Octet),YOU Band,03:37,Instrumentation 6,Pf & Bs & Dr & Gt & As & Bar & Ts � 2
No. 29,M03,Tr. 04,Crescent Serenade (Octet),YOU Band,04:07,Instrumentation 6,Pf & Bs & Dr & Gt & As & Bar & Ts � 2
No. 30,M03,Tr. 05,Abyss (Octet),YOU Band,03:59,Instrumentation 6,Pf & Bs & Dr & Gt & As & Bar & Ts � 2
No. 31,M03,Tr. 06,Jive (Piano Trio & Vib),Masahiro Kanno Quartet,05:09,Instrumentation 7,Pf & Bs & Dr & Vib
No. 32,M03,Tr. 07,For Two (Piano Trio & Vib),Masahiro Kanno Quartet,05:40,Instrumentation 7,Pf & Bs & Dr & Vib
No. 33,M03,Tr. 08,Lounge Away (Piano Trio & Flute),Kazuma Ito Quartet,04:13,Instrumentation 7,Pf & Bs & Dr & Fl
No. 34,M03,Tr. 09,Crescent Serenade (Piano Trio & Flute),Kazuma Ito Quartet,05:52,Instrumentation 7,Pf & Bs & Dr & Fl
No. 35,M03,Tr. 10,Abyss (Piano Trio & Vib),Masahiro Kanno Quartet,05:14,Instrumentation 7,Pf & Bs & Dr & Vib
No. 36,M04,Tr. 01,Dance Together,Nathan Ingram III,03:42,Style (Vocal jazz),Pf & Bs & Dr & Tp & Vo
No. 37,M04,Tr. 02,Aura Lee,Aoi Kato,02:25,Style (Vocal jazz),Pf & Bs & Dr & Vo
No. 38,M04,Tr. 03,The Entertainer,HH Band,03:08,Style (Big band jazz),Pf & Bs & Dr & Gt & Tp & Tb & Ts & As & Bar & Fl
No. 39,M04,Tr. 04,Mo' Trippin',HH Band,03:54,Style (Big band jazz),Pf & Bs & Dr & Gt & Tp & Tb & Ts & As & Bar & Fl
No. 40,M04,Tr. 05,Image,Tetsuya Ozawa Quartet,07:41,Style (Modal jazz),Pf & Bs & Dr & Ts
No. 41,M04,Tr. 06,Friction,Yutaka Umitsuki Quartet,06:05,Style (Modal jazz),Pf & Bs & Dr & Ts
No. 42,M04,Tr. 07,Silent Night,U's Band,05:43,Style (Funky jazz),Pf & Bs & Dr & Gt & Ts & As & Bar
No. 43,M04,Tr. 08,Down To The Earth,Yutaka Umitsuki Quartet,04:55,Style (Funky jazz),Pf & Bs & Dr & Ts
No. 44,M04,Tr. 09,"Joyful, Joyful, We Adore Thee",K’s Band,04:30:00,Style (Free jazz),Pf & Bs & Dr & Gt & Ts & Fl & Bar
No. 45,M04,Tr. 10,Morning View,22 Project Band,04:25,Fusion,Pf & Kb & Bs & Dr & Gt & Perc
No. 46,M04,Tr. 11,Formula,22 Project Band,03:24,Fusion,Pf & Kb & Bs & Dr & Gt & EWI
No. 47,M04,Tr. 12,Morning Star,22 Project Band,03:45,Fusion,Kb & Bs & Dr & Gt
No. 48,M04,Tr. 13,Latin Sacrifice,22 Project Band,04:02,Fusion,Pf & Kb & Bs & Dr & Gt & Perc
No. 49,M04,Tr. 14,Wolf,22 Project Band,03:02,Fusion,Kb � 2 & Bs & Dr & Gt
No. 50,M04,Tr. 15,Bird Of Paradise,22 Project Band,04:01,Fusion,Kb & Bs & Dr & Ss & Ts & Perc
