Piece No.,Cat. Suffix,Tr. No.,Main Category,Subcategory,Title,Composer,Artist (Singer Information),Length
No. 38,M04,Tr. 02,Latin,Bossa Nova,Misty Rouge,Hiroshi Haji,Bossa Novas,03:18
No. 39,M04,Tr. 03,Latin,Bossa Nova,Jullia,Bunmei Ogawa,S Project Band (Female),03:31
No. 40,M04,Tr. 04,Latin,Samba,Lovely Women,Kenji Nakamura,Sambars,03:37
No. 41,M04,Tr. 05,Latin,Samba,Dance to the Samba,Bunmei Ogawa,Sambars (Female),04:11
No. 42,M04,Tr. 06,Latin,Samba,Sway So Gentle,Kenji Nakamura,Sambars,03:03
No. 43,M04,Tr. 07,Latin,Reggae,Moon Struck,Bunmei Ogawa,On Band,03:06
No. 44,M04,Tr. 08,Latin,Reggae,Eric's Reggae,Kenji Nakamura,On Band,03:17
No. 45,M04,Tr. 09,Latin,Reggae,Where Are You?,Bunmei Ogawa,On Band (Male),03:51
No. 46,M04,Tr. 10,Latin,Tango,Tango Noir,Hiroshi Haji,Tango House,02:35
No. 47,M04,Tr. 11,Latin,Tango,Kittenish Tango,Hiroshi Haji,Tango House,03:10
No. 48,M04,Tr. 12,Latin,Tango,Tango in Twilight,Hiroshi Haji,Tango House,02:58
No. 49,M05,Tr. 01,Classical,Baroque (Orchestral),"<Water Music> Suite no.2 in D major, HWV.349. 2. `Alla Hornpipe'","Handel, George Frideric (Public Domain) ",Tokyo City Philharmonic Orchestra ,"3:22
"
No. 50,M05,Tr. 02,Classical,Classic (Orchestral),"<Egmont> Overture, op.84 ","Beethoven, Ludwig van (Public Domain)",Tokyo City Philharmonic Orchestra,8:35
No. 51,M05,Tr. 03,Classical,Romantic (Orchestral),"<Die Meistersinger von Nürnberg>, Prelude to Act 1","Wagner, Richard (Public Domain)",Tokyo City Philharmonic Orchestra,10:10
No. 52,M05,Tr. 04,Classical,Modern (Orchestral),`Alborada del Gracioso',"Ravel, Maurice (Public Domain)",Tokyo City Philharmonic Orchestra,"7:38
"
No. 53,M05,Tr. 05,Classical,Modern (Orchestral),"`Jupiter' from Suite <The Planets>, op.32","Holst, Gustav (Public Domain)",Tokyo City Philharmonic Orchestra,7:57
No. 54,M05,Tr. 06,March,Brass Band,`The Stars and Stripes Forever',"Sousa, John Philip (Public Domain)",Tokyo Kosei Wind Orchestra,03:44
No. 55,M05,Tr. 07,March,Brass Band,"`Radetzky March', op.228 ","Strauss I, Johann (Public Domain)",Tokyo Kosei Wind Orchestra,02:36
No. 56,M05,Tr. 08,March,Brass Band,"<Pomp and Circumstance> March no.1, op.39-1","Elgar, Edward (Public Domain)",Tokyo Kosei Wind Orchestra,06:41
No. 57,M06,Tr. 01,Classical,Baroque (Solo),"Toccata and Fugue in D minor, BWV.565 ","Bach, Johann Sebastian (Public Domain)",Tetsuya Kan,08:28
No. 58,M06,Tr. 02,Classical,Baroque (Solo),"no.1 in C major, BWV.772 ","Bach, Johann Sebastian (Public Domain)",Atsuko Watanabe,01:30
No. 58,M06,Tr. 03,Classical,Baroque (Solo),"no.4 in D minor, BWV.775",,,00:54
No. 58,M06,Tr. 04,Classical,Baroque (Solo),"no.14 in Bb major, BWV.785",,,01:25
No. 59,M06,Tr. 05,Classical,Classic (Solo),"Rondo in D major, K.485 ","Mozart, Wolfgang Amadeus (Public Domain)",Yuriko Furuichi,04:55
No. 60,M06,Tr. 06,Classical,Classic (Chamber),"String Quartet no.77 in C major, op.76-3 (Hob.III-77) `Kaiser'. 2nd mvmt. ","Haydn, Franz Joseph (Public Domain)",Wood Land Notes ,07:08
No. 61,M06,Tr. 07,Classical,Romantic (Chamber),"String Quartet no.1 in D major, op.11. 2nd mvmt. (Andante Cantabile)","Tchaikovsky, Pyotr Ilich (Public Domain)",Wood Land Notes,06:11
No. 62,M06,Tr. 08,Classical,Romantic (Solo),"Etude in Gb major, op.10-5","Chopin, Frédéric François (Public Domain)",Yuri Mineo,01:56
No. 63,M06,Tr. 09,Classical,Modern (Solo),`Clair de Lune' from <Suite Bergamasque>,"Debussy, Achille-Claude (Public Domain)",Yuriko Furuichi,05:23
No. 64,M07,Tr. 01,World,Blues,Blue Print,Hiroshi Takayama,22 Project Band,03:24
No. 65,M07,Tr. 02,World,Blues,Got'em Both,Hiroshi Takayama,22 Project Band,03:34
No. 66,M07,Tr. 03,World,Blues,Dear John's Letter,Hiroshi Takayama,22 Project Band (Male),03:57
No. 67,M07,Tr. 04,World,Folk,Dream Angel,Kazuo Nishi,Donna Burke (Female),04:05
No. 68,M07,Tr. 05,World,Folk,Grassy Dance,Shigekazu Kamaki,Shigekazu Kamaki,03:13
No. 69,M07,Tr. 06,World,Folk,What Should I Tell Them?,Kazuo Nishi,Greg Irwin (Male),04:18
No. 70,M07,Tr. 07,World,Country,Bjc Fiddle Rag,Satoshi Hara,Banjo Club,03:39
No. 71,M07,Tr. 08,World,Country,Desperate Little Man,Satoshi Hara,Banjo Club (Male),03:45
No. 72,M07,Tr. 09,World,Country,I Don't Love Nobody,Satoshi Hara,Banjo Club,04:34
No. 73,M07,Tr. 10,World,Gospel,Not Enough Words,Bunmei Ogawa,22 Project Band (Female),04:19
No. 74,M07,Tr. 11,World,Gospel,With My Jalopy,Kenji Nakamura,22 Project Band (Male),04:32
No. 75,M07,Tr. 12,World,Gospel,My Faith,Kenji Nakamura,22 Project Band,02:53
No. 76,M08,Tr. 01,World,African,Havini Tishi Tishi,Fresh Jumbe,Fresh Jumbe (Male),03:17
No. 77,M08,Tr. 02,World,African,Kasheki,Fresh Jumbe,Fresh Jumbe (Male),04:04
No. 78,M08,Tr. 03,World,African,Mwanambuzi,Fresh Jumbe,Fresh Jumbe (Male),04:26
No. 79,M08,Tr. 04,World,Indian,Raga Charukesi - Alap,(Improvisation),Shanti,04:58
No. 80,M08,Tr. 05,World,Indian,Raga Charukesi - Vilambit Teentaal,(Improvisation),Shanti,04:59
No. 81,M08,Tr. 06,World,Indian,Raga Charukesi - Drut Teentaal,(Improvisation),Shanti,05:04
No. 82,M08,Tr. 07,World,Flamenco,Sevillanas,David Lainfiesta,David Lainfiesta,03:11
No. 83,M08,Tr. 08,World,Flamenco,Tangos,Miguel de Badajoz,Miguel de Badajoz (Male),05:17
No. 84,M08,Tr. 09,World,Flamenco,Rumba,David Lainfiesta,David Lainfiesta,03:45
No. 85,M08,Tr. 10,Vocal,Chanson,Rue Saint-Vincent `Rose Blanche',Aristide Bruant (Public Domain),Monden Momo (Female),04:02
No. 86,M08,Tr. 11,Vocal,Chanson,Le Temps Des Cerises,Antoine Renard (Public Domain),Monden Momo (Female),03:54
No. 87,M08,Tr. 12,Vocal,Chanson,Je Te Veux,Erik Satie (Public Domain),Monden Momo (Female),03:39
No. 88,M08,Tr. 13,Vocal,Canzone,Santa Lucia,Cottrau (Public Domain),Jun Aoki (Male),03:28
No. 89,M08,Tr. 14,Vocal,Canzone,O Sole Mio,Edoardo Di Capua (Public Domain),Jun Aoki (Male),03:50
No. 90,M08,Tr. 15,Vocal,Canzone,Turna A Surriento,Ernesto De Curtis (Public Domain),Jun Aoki (Male),04:39
No. 91,M09,Tr. 01,Traditional Japanese,Popular (Enka),Tairyo Bune,Hiroshi Takayama,Kazuo Nishi (Male),04:30
No. 92,M09,Tr. 02,Traditional Japanese,Popular (Enka),Kita no Komoriuta,Kazuo Nishi,Kazuo Nishi (Male),04:15
No. 93,M09,Tr. 03,Traditional Japanese,Popular (Enka),Ai Hitohira,Kazuo Nishi,Hiromi Yoshii (Female),04:14
No. 94,M09,Tr. 04,Traditional Japanese,Folk (Min'you),Sado Okesa,(Public Domain),Machi Watanabe (Female),03:09
No. 95,M09,Tr. 05,Traditional Japanese,Folk (Min'you),Nambu Ushioiuta,(Public Domain),Machi Watanabe (Female),03:23
No. 96,M09,Tr. 06,Traditional Japanese,Folk (Min'you),Soran Bushi,(Public Domain),Machi Watanabe (Female),02:11
No. 97,M09,Tr. 07,Traditional Japanese,Court (Gagaku),Hyojo Etenraku,(Public Domain),Hougakudo,04:27
No. 98,M09,Tr. 08,Traditional Japanese,Court (Gagaku),Taishikicho Gakkaen,(Public Domain),Hougakudo,05:43
No. 99,M09,Tr. 09,Traditional Japanese,Court (Gagaku),Taishikicho Chogeishi,(Public Domain),Hougakudo,04:11
No. 100,M09,Tr. 10,A Cappella,A Cappella,Precious Love,Kazuo Nishi,Dik (2 Male & 2 Female),03:16
